Data Source,Frequency [D/H],Observation time UTC,PERIOD [hrs],Direction [deg T],Speed [m/s]
M,H,2003-05-19T03:00:00Z,0.17,,14.41
M,H,2003-05-20T07:00:00Z,0.17,,11.84
M,H,2003-05-27T12:00:00Z,0.17,,7.72
M,H,2003-05-27T14:00:00Z,0.17,,16.47
M,H,2003-05-27T22:00:00Z,0.17,,15.44
M,H,2003-05-28T00:00:00Z,0.17,,14.41
M,H,2003-05-28T02:00:00Z,0.17,,12.87
M,H,2003-05-28T04:00:00Z,0.17,,12.87
M,H,2003-05-30T01:00:00Z,0.17,,11.84
M,H,2003-05-30T03:00:00Z,0.17,,16.99
M,H,2003-05-30T04:00:00Z,0.17,,14.41
M,H,2003-05-30T05:00:00Z,0.17,,14.93
M,H,2003-05-30T09:00:00Z,0.17,,16.99
M,H,2003-05-30T10:00:00Z,0.17,,16.99
M,H,2003-05-30T11:00:00Z,0.17,,18.53
M,H,2003-05-30T12:00:00Z,0.17,,19.05
M,H,2003-05-30T23:00:00Z,0.17,,12.87
M,H,2003-06-06T21:00:00Z,0.17,,11.84
M,H,2003-06-16T06:00:00Z,0.17,,16.47
M,H,2003-06-16T08:00:00Z,0.17,,15.44
M,H,2003-06-16T09:00:00Z,0.17,,17.5
M,H,2003-06-16T10:00:00Z,0.17,,18.02
M,H,2003-06-16T11:00:00Z,0.17,,18.02
M,H,2003-06-16T12:00:00Z,0.17,,16.99
M,H,2003-06-16T13:00:00Z,0.17,,15.96
M,H,2003-06-16T14:00:00Z,0.17,,14.93
M,H,2003-06-16T19:00:00Z,0.17,,15.44
M,H,2003-06-16T21:00:00Z,0.17,,16.47
M,H,2003-06-16T22:00:00Z,0.17,,15.96
M,H,2003-06-17T00:00:00Z,0.17,,16.47
M,H,2003-06-17T01:00:00Z,0.17,,15.96
M,H,2003-06-23T11:00:00Z,0.17,,9.27
M,H,2003-06-23T16:00:00Z,0.17,,14.41
M,H,2003-06-23T17:00:00Z,0.17,,15.96
M,H,2003-06-23T18:00:00Z,0.17,,12.35
M,H,2003-06-24T06:00:00Z,0.17,,13.38
M,H,2003-06-24T08:00:00Z,0.17,,13.9
M,H,2003-06-24T11:00:00Z,0.17,,12.35
M,H,2003-06-24T19:00:00Z,0.17,,15.44
M,H,2003-06-25T00:00:00Z,0.17,,18.02
M,H,2003-06-25T04:00:00Z,0.17,,11.32
M,H,2003-06-25T05:00:00Z,0.17,,15.96
M,H,2003-06-29T23:00:00Z,0.17,,12.35
M,H,2003-07-01T04:00:00Z,0.17,,13.38
M,H,2003-07-01T13:00:00Z,0.17,,13.38
M,H,2003-07-01T14:00:00Z,0.17,,15.44
M,H,2003-07-01T15:00:00Z,0.17,,15.44
M,H,2003-07-01T17:00:00Z,0.17,,16.47
M,H,2003-07-01T18:00:00Z,0.17,,17.5
M,H,2003-07-01T19:00:00Z,0.17,,18.02
M,H,2003-07-01T20:00:00Z,0.17,,16.47
M,H,2003-07-01T21:00:00Z,0.17,,14.93
M,H,2003-07-01T22:00:00Z,0.17,,15.96
M,H,2003-07-01T23:00:00Z,0.17,,19.56
M,H,2003-07-02T01:00:00Z,0.17,,16.47
M,H,2003-07-02T04:00:00Z,0.17,,16.99
M,H,2003-07-02T22:00:00Z,0.17,,11.32
M,H,2003-07-03T10:00:00Z,0.17,,13.38
M,H,2003-07-07T00:00:00Z,0.17,,12.87
M,H,2003-07-07T01:00:00Z,0.17,,15.96
M,H,2003-07-07T05:00:00Z,0.17,,13.38
M,H,2003-07-07T06:00:00Z,0.17,,14.41
M,H,2003-07-07T07:00:00Z,0.17,,14.41
M,H,2003-07-07T11:00:00Z,0.17,,14.41
M,H,2003-07-07T12:00:00Z,0.17,,14.93
M,H,2003-07-07T13:00:00Z,0.17,,12.87
M,H,2003-07-10T11:00:00Z,0.17,,13.9
M,H,2003-07-10T14:00:00Z,0.17,,11.84
